beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,Location
3,3,2850,sqft,4200,sqft,98119,1175000,Kothrud
4,5,3040,sqft,5002,sqft,98106,1057500,Balewadi
3,1,1290,sqft,6048,sqft,98125,799000,Pune
3,2,2360,sqft,0.28,acre,98188,565000,Alandi
3,3.5,1942,sqft,1603,sqft,98107,1187000,Hinjewadi
2,2,963,sqft,4753,sqft,98122,701000,Lohegaon
1,1,756,sqft,2356,sqft,98105,480000,Kothrud
4,6,3300,sqft,5810,sqft,98199,1795000,Balewadi
4,2,2060,sqft,4206,sqft,98144,1025000,Pune
1,1,672,sqft,,,98122,450000,Alandi
3,2.5,1760,sqft,3630,sqft,98122,1135000,Hinjewadi
1,1.5,924,sqft,,,98121,568000,Lohegaon
3,2,2500,sqft,5000,sqft,98136,648000,Kothrud
2,2,1800,sqft,0.72,acre,98199,699950,Balewadi
1,1,574,sqft,,,98104,429950,Pune
2,2,2241,sqft,1.09,acre,98112,2450000,Alandi
3,1.5,2320,sqft,4000,sqft,98109,1275000,Hinjewadi
2,2,1415,sqft,,,98125,449000,Lohegaon
3,1.5,1750,sqft,2460,sqft,98102,925000,Kothrud
3,3,2340,sqft,6640,sqft,98126,974898,Balewadi
4,2,1690,sqft,0.32,acre,98168,550000,Pune
3,2.5,2320,sqft,3500,sqft,98103,1175000,Alandi
2,1,1760,sqft,5000,sqft,98116,700000,Hinjewadi
1,1,685,sqft,,,98121,570000,Lohegaon
2,2,946,sqft,3250,sqft,98103,690000,Kothrud
3,2,1610,sqft,3060,sqft,98146,540000,Balewadi
3,1,1390,sqft,3774,sqft,98105,450000,Pune
2,1,1620,sqft,6600,sqft,98178,487639,Alandi
4,2.5,2010,sqft,6000,sqft,98136,982000,Hinjewadi
2,1.5,890,sqft,2875,sqft,98146,510000,Lohegaon
2,2,964,sqft,3.97,acre,98126,512500,Kothrud
2,1,980,sqft,2226,sqft,98144,598000,Balewadi
4,4,3310,sqft,4313,sqft,98116,1215000,Pune
2,1,840,sqft,4263,sqft,98146,485000,Alandi
2,2,1878,sqft,,,98115,515000,Hinjewadi
3,2,1910,sqft,2000,sqft,98109,1090000,Lohegaon
2,1,900,sqft,4066,sqft,98133,474000,Kothrud
3,2,2210,sqft,7200,sqft,98118,1425000,Balewadi
3,2.5,2168,sqft,,,98119,1700000,Pune
3,2,2760,sqft,4800,sqft,98105,1235000,Alandi
2,2.5,2760,sqft,3.06,acre,98105,1440000,Hinjewadi
2,2.5,1291,sqft,793,sqft,98144,680000,Lohegaon
7,6,3780,sqft,5020,sqft,98119,1210000,Kothrud
4,3,2190,sqft,4000,sqft,98112,1685000,Balewadi
4,3.5,4027,sqft,0.3,acre,98199,2170000,Pune
4,2.5,3410,sqft,9602,sqft,98125,1700000,Alandi
5,2,2470,sqft,3880,sqft,98107,905000,Hinjewadi
3,2,1850,sqft,3880,sqft,98117,890000,Lohegaon
4,3,2430,sqft,5160,sqft,98106,995000,Kothrud
2,2,1395,sqft,797,sqft,98199,751849,Balewadi
2,1.5,1290,sqft,5100,sqft,98117,869000,Pune
4,1,1485,sqft,6050,sqft,98178,500000,Alandi
1,1,718,sqft,0.65,acre,98115,525000,Hinjewadi
3,2.5,2220,sqft,8353,sqft,98177,1350000,Lohegaon
2,2,899,sqft,,,98103,587000,Kothrud
2,1,785,sqft,,,98102,470000,Balewadi
3,3,2225,sqft,,,98101,2850000,Pune
3,2,1648,sqft,6250,sqft,98126,765000,Alandi
5,3,1840,sqft,5415,sqft,98115,650000,Hinjewadi
3,2.5,1785,sqft,1500,sqft,98144,850000,Lohegaon
3,1.5,1520,sqft,9405,sqft,98136,1200000,Kothrud
3,1.5,1460,sqft,0.25,acre,98168,410000,Balewadi
2,2,1656,sqft,,,98115,642000,Pune
3,1.5,1690,sqft,4226,sqft,98105,625000,Alandi
4,2.5,3200,sqft,0.28,acre,98118,1100000,Hinjewadi
2,2,1030,sqft,4507,sqft,98112,825000,Lohegaon
3,2.5,1220,sqft,1095,sqft,98109,900000,Kothrud
3,2,1330,sqft,2875,sqft,98126,705000,Balewadi
2,1,877,sqft,4.06,acre,98146,350000,Pune
2,2,1254,sqft,,,98121,1069000,Alandi
4,3,3160,sqft,4830,sqft,98116,1425000,Hinjewadi
3,2,1305,sqft,4400,sqft,98118,714000,Lohegaon
3,2,2798,sqft,3667,sqft,98109,1185000,Kothrud
4,2,2100,sqft,4799,sqft,98199,1000000,Balewadi
3,2.5,1620,sqft,5000,sqft,98117,885000,Pune
1,1,801,sqft,0.54,acre,98102,499995,Alandi
5,2,2180,sqft,4000,sqft,98144,927500,Hinjewadi
2,2,1025,sqft,,,98126,470000,Lohegaon
3,2.5,1830,sqft,1929,sqft,98116,1150000,Kothrud
3,2.5,1800,sqft,2380,sqft,98126,715000,Balewadi
3,2,2470,sqft,4192,sqft,98105,705000,Pune
2,1,2090,sqft,3290,sqft,98103,820000,Alandi
1,1,661,sqft,8255,sqft,98102,415000,Hinjewadi
5,5,2440,sqft,0.36,acre,98115,1505000,Lohegaon
3,1.5,1770,sqft,0.52,acre,98168,539000,Kothrud
3,2.5,1540,sqft,1189,sqft,98107,756000,Balewadi
5,4,3510,sqft,5400,sqft,98199,1735000,Pune
5,3,2480,sqft,5300,sqft,98126,845000,Alandi
4,2.5,1690,sqft,6000,sqft,98108,399950,Hinjewadi
9,6,6139,sqft,5750,sqft,98116,2800000,Lohegaon
5,4,4770,sqft,9000,sqft,98115,1140000,Kothrud
2,2,1353,sqft,,,98115,749000,Balewadi
3,1.5,1190,sqft,4800,sqft,98108,197009,Pune
5,3.5,4280,sqft,4000,sqft,98102,2300000,Alandi
1,1,810,sqft,7500,sqft,98108,385000,Hinjewadi
3,2,1540,sqft,3755,sqft,98108,632500,Lohegaon
3,2.5,1660,sqft,8450,sqft,98146,695000,Kothrud
3,2,1640,sqft,4320,sqft,98136,907500,Balewadi
2,1,1600,sqft,3750,sqft,98117,852500,Pune
